Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/api/v1/jobs/changes,309,1154,1081,1836,2077,2250,394,2494,0.000%,1.02853,9921.97,0.36
TOTAL,309,1154,1081,1836,2077,2250,394,2494,0.000%,1.02853,9921.97,0.36
