Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01 Homepage,100,118,106,149,213,304,84,325,0.000%,3.37075,8.36,0.86
02 Stats API,100,2792,2794,5138,5670,5883,193,6055,0.000%,2.83102,2.35,0.78
03 Search API (keyword search),100,2873,3110,4843,4988,5605,390,5690,0.000%,2.53011,43.29,0.79
04 Salary API (shown alongside search results),100,2863,2962,4697,5144,5533,106,5580,0.000%,2.46342,2.09,0.71
05 Search API Filtered By Location,100,2782,2860,4451,4693,5220,384,5395,0.000%,2.36362,61.09,0.78
06 Job Describe API,100,2190,2029,4024,4401,4912,60,5141,0.000%,2.40119,2.46,0.97
07 Similar Jobs API,100,1938,1630,3995,4146,5138,56,5180,0.000%,2.37411,1.82,0.99
08 Subscribe API,100,3057,57,160,30003,30003,52,30005,100.000%,2.44033,2.50,1.19
TOTAL,800,2327,1802,4334,4988,30002,52,30005,12.500%,16.06006,100.23,5.55
