Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
01 Homepage,400,111,81,334,38.39,0.000%,1.05242,2.61,0.27,2538.3
02 Stats API,400,6055,193,10909,3393.80,35.500%,1.02342,0.85,0.28,848.7
03 Search API (keyword search),400,6291,257,10506,3305.83,40.250%,.99689,16.85,0.31,17307.7
04 Salary API (shown alongside search results),400,6371,106,10563,3204.98,39.500%,.98523,0.83,0.28,867.5
05 Search API Filtered By Location,400,6224,384,10309,3070.05,37.000%,.97655,24.38,0.32,25569.0
06 Job Describe API,400,5446,54,10079,3267.48,31.250%,.97637,1.00,0.39,1053.7
07 Similar Jobs API,400,4836,51,10067,3498.10,27.250%,.97734,0.75,0.40,786.8
08 Subscribe API,400,2454,51,30017,7880.00,97.500%,.97998,0.95,0.49,990.2
TOTAL,3200,4724,51,30017,4518.08,38.531%,7.67371,46.80,2.66,6245.3
