Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/api/v1/jobs/changes,170,2329,577,7834,9537,12423,64,13353,47.647%,1.80734,9126.46,0.61
TOTAL,170,2329,577,7834,9537,12423,64,13353,47.647%,1.80734,9126.46,0.61
